movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Fat Albert ,4.3,2004,48114556,26000000.00,85,Central America,Comedy,profit
Fat Albert ,4.3,2004,48114556,26000000.00,85,Central America,Family,profit
Fat Albert ,4.3,2004,48114556,26000000.00,85,Central America,Fantasy,profit
Fat Albert ,4.3,2004,48114556,26000000.00,85,Central America,Romance,profit
Birth ,6.1,2004,5005883,20000000.00,-75,Central America,Drama,loss
Birth ,6.1,2004,5005883,20000000.00,-75,Central America,Mystery,loss
Birth ,6.1,2004,5005883,20000000.00,-75,Central America,Romance,loss
Birth ,6.1,2004,5005883,20000000.00,-75,Central America,Thriller,loss
Blended ,6.5,2014,46280507,40000000.00,16,Central America,Comedy,profit
Blended ,6.5,2014,46280507,40000000.00,16,Central America,Romance,profit
Last Holiday ,6.4,2006,38360195,45000000.00,-15,Central America,Adventure,loss
Last Holiday ,6.4,2006,38360195,45000000.00,-15,Central America,Comedy,loss
Last Holiday ,6.4,2006,38360195,45000000.00,-15,Central America,Drama,loss
The River Wild ,6.3,1994,46815748,45000000.00,4,Central America,Action,profit
The River Wild ,6.3,1994,46815748,45000000.00,4,Central America,Adventure,profit
The River Wild ,6.3,1994,46815748,45000000.00,4,Central America,Crime,profit
The River Wild ,6.3,1994,46815748,45000000.00,4,Central America,Thriller,profit
The Indian in the Cupboard ,5.9,1995,35617599,45000000.00,-21,Central America,Drama,loss
The Indian in the Cupboard ,5.9,1995,35617599,45000000.00,-21,Central America,Family,loss
The Indian in the Cupboard ,5.9,1995,35617599,45000000.00,-21,Central America,Fantasy,loss
Savages ,6.5,2012,47307550,45000000.00,5,Central America,Crime,profit
Savages ,6.5,2012,47307550,45000000.00,5,Central America,Drama,profit
Savages ,6.5,2012,47307550,45000000.00,5,Central America,Thriller,profit
Cellular ,6.5,2004,32003620,25000000.00,28,Central America,Action,profit
Cellular ,6.5,2004,32003620,25000000.00,28,Central America,Crime,profit
Cellular ,6.5,2004,32003620,25000000.00,28,Central America,Thriller,profit
Saw ,7.7,2004,55153403,1200000.00,4496,Central America,Horror,profit
Saw ,7.7,2004,55153403,1200000.00,4496,Central America,Mystery,profit
Saw ,7.7,2004,55153403,1200000.00,4496,Central America,Thriller,profit
The Ant Bully ,5.9,2006,28133159,50000000.00,-44,Central America,Adventure,loss
The Ant Bully ,5.9,2006,28133159,50000000.00,-44,Central America,Animation,loss
The Ant Bully ,5.9,2006,28133159,50000000.00,-44,Central America,Comedy,loss
The Ant Bully ,5.9,2006,28133159,50000000.00,-44,Central America,Family,loss
The Ant Bully ,5.9,2006,28133159,50000000.00,-44,Central America,Fantasy,loss
