movie_title,imdb_score,year,gross,budget,profit_markup_pr,continent,genre,mycolor
Free State of Jones ,6.7,2016,20389967,50000000.00,-59,Central America,Biography,loss
Free State of Jones ,6.7,2016,20389967,50000000.00,-59,Central America,Drama,loss
Free State of Jones ,6.7,2016,20389967,50000000.00,-59,Central America,History,loss
Free State of Jones ,6.7,2016,20389967,50000000.00,-59,Central America,War,loss
The Life of David Gale ,7.5,2003,19593740,50000000.00,-61,Central America,Crime,loss
The Life of David Gale ,7.5,2003,19593740,50000000.00,-61,Central America,Drama,loss
The Life of David Gale ,7.5,2003,19593740,50000000.00,-61,Central America,Thriller,loss
Man of the House ,5.4,2005,19118247,40000000.00,-52,Central America,Action,loss
Man of the House ,5.4,2005,19118247,40000000.00,-52,Central America,Comedy,loss
Run All Night ,6.6,2015,26442251,50000000.00,-47,Central America,Action,loss
Run All Night ,6.6,2015,26442251,50000000.00,-47,Central America,Crime,loss
Run All Night ,6.6,2015,26442251,50000000.00,-47,Central America,Drama,loss
Run All Night ,6.6,2015,26442251,50000000.00,-47,Central America,Thriller,loss
Eastern Promises ,7.7,2007,17114882,25000000.00,-32,Central America,Crime,loss
Eastern Promises ,7.7,2007,17114882,25000000.00,-32,Central America,Mystery,loss
Eastern Promises ,7.7,2007,17114882,25000000.00,-32,Central America,Thriller,loss
Into the Blue ,5.8,2005,18472363,50000000.00,-63,Central America,Action,loss
Into the Blue ,5.8,2005,18472363,50000000.00,-63,Central America,Adventure,loss
Into the Blue ,5.8,2005,18472363,50000000.00,-63,Central America,Crime,loss
Into the Blue ,5.8,2005,18472363,50000000.00,-63,Central America,Thriller,loss
The Greatest ,6.7,2009,115862,6000000.00,-98,Central America,Drama,loss
The Greatest ,6.7,2009,115862,6000000.00,-98,Central America,Romance,loss
Your Highness ,5.6,2011,21557240,49900000.00,-57,Central America,Adventure,loss
Your Highness ,5.6,2011,21557240,49900000.00,-57,Central America,Comedy,loss
Your Highness ,5.6,2011,21557240,49900000.00,-57,Central America,Fantasy,loss
Dream House ,6,2011,21283440,55000000.00,-61,Central America,Drama,loss
Dream House ,6,2011,21283440,55000000.00,-61,Central America,Mystery,loss
Dream House ,6,2011,21283440,55000000.00,-61,Central America,Thriller,loss
Mad City ,6.2,1997,10556196,50000000.00,-79,Central America,Crime,loss
Mad City ,6.2,1997,10556196,50000000.00,-79,Central America,Drama,loss
Mad City ,6.2,1997,10556196,50000000.00,-79,Central America,Thriller,loss
Baby's Day Out ,5.9,1994,16671505,50000000.00,-67,Central America,Adventure,loss
Baby's Day Out ,5.9,1994,16671505,50000000.00,-67,Central America,Comedy,loss
Baby's Day Out ,5.9,1994,16671505,50000000.00,-67,Central America,Crime,loss
Baby's Day Out ,5.9,1994,16671505,50000000.00,-67,Central America,Drama,loss
Baby's Day Out ,5.9,1994,16671505,50000000.00,-67,Central America,Family,loss
The Scarlet Letter ,5.1,1995,10400000,50000000.00,-79,Central America,Drama,loss
The Scarlet Letter ,5.1,1995,10400000,50000000.00,-79,Central America,Romance,loss
Fair Game ,6.8,2010,9528092,22000000.00,-57,Central America,Biography,loss
Fair Game ,6.8,2010,9528092,22000000.00,-57,Central America,Drama,loss
Fair Game ,6.8,2010,9528092,22000000.00,-57,Central America,Thriller,loss
Shorts ,4.9,2009,20916309,40000000.00,-48,Central America,Comedy,loss
Shorts ,4.9,2009,20916309,40000000.00,-48,Central America,Family,loss
Shorts ,4.9,2009,20916309,40000000.00,-48,Central America,Fantasy,loss
Jade ,5.1,1995,9795017,50000000.00,-80,Central America,Crime,loss
Jade ,5.1,1995,9795017,50000000.00,-80,Central America,Drama,loss
Jade ,5.1,1995,9795017,50000000.00,-80,Central America,Thriller,loss
Gamer ,5.8,2009,20488579,50000000.00,-59,Central America,Action,loss
Gamer ,5.8,2009,20488579,50000000.00,-59,Central America,Sci-Fi,loss
Gamer ,5.8,2009,20488579,50000000.00,-59,Central America,Thriller,loss
Beautiful Creatures ,6.2,2013,19445217,60000000.00,-68,Central America,Drama,loss
Beautiful Creatures ,6.2,2013,19445217,60000000.00,-68,Central America,Fantasy,loss
Beautiful Creatures ,6.2,2013,19445217,60000000.00,-68,Central America,Romance,loss
Zoolander 2 ,4.8,2016,28837115,50000000.00,-42,Central America,Comedy,loss
The Big Bounce ,4.9,2004,6471394,50000000.00,-87,Central America,Comedy,loss
The Big Bounce ,4.9,2004,6471394,50000000.00,-87,Central America,Crime,loss
What Planet Are You From? ,5.6,2000,6291602,50000000.00,-87,Central America,Comedy,loss
What Planet Are You From? ,5.6,2000,6291602,50000000.00,-87,Central America,Sci-Fi,loss
Drive Angry ,5.5,2011,10706786,50000000.00,-79,Central America,Action,loss
Drive Angry ,5.5,2011,10706786,50000000.00,-79,Central America,Fantasy,loss
Drive Angry ,5.5,2011,10706786,50000000.00,-79,Central America,Thriller,loss
Simon Birch ,6.9,1998,18252684,30000000.00,-39,Central America,Comedy,loss
Simon Birch ,6.9,1998,18252684,30000000.00,-39,Central America,Drama,loss
Simon Birch ,6.9,1998,18252684,30000000.00,-39,Central America,Family,loss
The One ,5.9,2001,43905746,49000000.00,-10,Central America,Action,loss
The One ,5.9,2001,43905746,49000000.00,-10,Central America,Sci-Fi,loss
The One ,5.9,2001,43905746,49000000.00,-10,Central America,Thriller,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Action,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Adventure,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Comedy,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Crime,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Music,loss
The Adventures of Ford Fairlane ,6.3,1990,21413502,40000000.00,-46,Central America,Mystery,loss
Traffic ,7.6,2000,124107476,48000000.00,159,Central America,Crime,profit
Traffic ,7.6,2000,124107476,48000000.00,159,Central America,Drama,profit
Traffic ,7.6,2000,124107476,48000000.00,159,Central America,Thriller,profit
Indiana Jones and the Last Crusade ,8.3,1989,197171806,48000000.00,311,Central America,Action,profit
Indiana Jones and the Last Crusade ,8.3,1989,197171806,48000000.00,311,Central America,Adventure,profit
Indiana Jones and the Last Crusade ,8.3,1989,197171806,48000000.00,311,Central America,Fantasy,profit
Chappie ,6.9,2015,31569268,49000000.00,-36,Central America,Action,loss
Chappie ,6.9,2015,31569268,49000000.00,-36,Central America,Crime,loss
Chappie ,6.9,2015,31569268,49000000.00,-36,Central America,Drama,loss
Chappie ,6.9,2015,31569268,49000000.00,-36,Central America,Sci-Fi,loss
Chappie ,6.9,2015,31569268,49000000.00,-36,Central America,Thriller,loss
The Bone Collector ,6.7,1999,66488090,48000000.00,39,Central America,Crime,profit
The Bone Collector ,6.7,1999,66488090,48000000.00,39,Central America,Drama,profit
The Bone Collector ,6.7,1999,66488090,48000000.00,39,Central America,Mystery,profit
The Bone Collector ,6.7,1999,66488090,48000000.00,39,Central America,Thriller,profit
Panic Room ,6.8,2002,95308367,48000000.00,99,Central America,Crime,profit
Panic Room ,6.8,2002,95308367,48000000.00,99,Central America,Drama,profit
Panic Room ,6.8,2002,95308367,48000000.00,99,Central America,Thriller,profit
